FID,X,Y,Aspect,DEM,DisToLinea,LineaDen,NDVI,Plan_Curva,Profile_Cu,Slope,Slope_Leng,STI,SPI,TPI,TWI,VRM,LULC_2015,habitat,GDP,DisFromRiv,DisFromRoa
120,109.92082,31.542484,137.8619995,2095,1755.699951,0.0644123,0.360306,-0.0090127,0.0039678,25.2670002,42.4263992,0,8.1044102,7,6.0962801,0.0083774,2,100,153,8812.700195,16798
121,109.921136,31.542486,147.1710052,2086,1764.650024,0.0640086,0.351016,-0.0034509,0.0044024,31.5858002,42.4263992,0.407356,10.2908001,6.1621599,5.85744,0.0079479,2,100,153,8834.889648,16792.40039
122,109.921452,31.542489,148.1340027,2075,1774.060059,0.0635998,0.383964,-0.0005237,0.0013789,35.9833984,84.8527985,0.61325,616.822998,3.2432401,2.5750401,0.002026,2,100,153,8857.120117,16786.80078
123,109.921768,31.542492,147.4259949,2063,1783.930054,0.063186,0.380162,0.0010193,-0.0018939,35.450901,84.8527985,0.156338,111.8799973,-0.810811,4.2821898,0.0019474,2,100,153,8879.389648,16781.30078
124,109.922084,31.542494,143.7460022,2052,1794.23999,0.062767,0.359405,0.0032474,-0.0032823,31.8003998,84.8527985,0.346179,36.4143982,-3.3513501,5.4046502,0.0050205,2,100,153,8901.709961,16775.90039
125,109.9224,31.542497,136.2189941,2041,1804.98999,0.0623431,0.358517,0.0026516,-0.0028424,28.9876003,84.8527985,0.880024,77.8666,-4.5405402,4.6446199,0.0072485,2,100,153,8924.080078,16770.5
126,109.922716,31.5425,125.538002,2029,1816.180054,0.0619141,0.364227,-0.0015316,-0.0008772,29.8337994,127.2789993,0.34214,10561.7002,-5.1621599,0.309998,0.0083646,2,100,153,8946.490234,16765.19922
127,109.923032,31.542502,120.6999969,2013,1827.790039,0.0614803,0.366328,-0.0051736,-0.0010992,31.8097,157.279007,0.589658,99.7033005,-8.1351299,6.3590798,0.0090331,2,100,153,8968.950195,16759.90039
128,109.923348,31.542505,120.1409988,1997,1839.810059,0.0610415,0.355557,-0.0045864,-0.0014297,30.8561001,187.279007,0.79283,-225.598999,-9.4054098,12.7938995,0.009864,2,100,159,8991.450195,16754.59961
129,109.923664,31.542508,118.0719986,1982,1852.23999,0.0605979,0.344193,-0.0052921,-0.000952,29.5387993,217.279007,0.152567,1612.359985,-8.4054098,5.0833602,0.0068759,2,100,159,9013.990234,16749.5
130,109.92398,31.54251,116.5650024,1967,1865.069946,0.0601494,0.339935,-0.0044721,0.0002816,30.8069992,247.279007,1.61545,-460.25,-6.5135102,13.3999996,0.0039227,2,100,159,9036.580078,16744.30078
131,109.924296,31.542513,117.2549973,1950,1878.300049,0.0596961,0.371421,-0.0047902,-0.0009107,31.7446995,277.2789917,1.6415,286.552002,-6.4054098,7.8088799,0.0038256,2,100,159,9059.209961,16739.19922
132,109.924612,31.542516,114.4440002,1934,1891.900024,0.0592381,0.382041,-0.0044844,-0.0003913,31.1383991,307.2789917,1.3716201,-290.6099854,-5.7567601,13.8353004,0.0031554,2,100,159,9081.879883,16734.19922
133,109.917979,31.542189,15.9454002,2159,1667.359985,0.0662745,0.330121,0.0179692,0.0010967,13.6402998,0,0.0958127,55.3274002,12.6757002,2.78913,0.0146546,2,100,153,8635.879883,16880.09961
134,109.918295,31.542192,63.4348984,2155,1671.939941,0.0662745,0.368921,0.0337895,-0.0008262,12.6043997,0,0.297851,1.14091,12.6216002,6.6705699,0.0174565,2,100,153,8657.589844,16874
135,109.918611,31.542194,96.7098007,2147,1677.050049,0.0662745,0.387554,0.0120031,0.0014012,15.9228001,0,0.407512,6.5454702,11.1622,4.9236202,0.0136656,2,100,153,8679.339844,16868
136,109.918927,31.542197,117.8970032,2138,1682.680054,0.0662745,0.36567,-0.0016533,0.0033361,17.7752991,0,0,-55.3669014,10.1892004,10.309,0.0126312,2,100,153,8701.139648,16862.09961
137,109.919243,31.5422,128.9909973,2130,1688.819946,0.0662745,0.373382,-0.002917,0.0068921,24.2423992,42.4263992,0.386094,-74.1207962,10.4054003,11.0021,0.0170765,2,100,153,8722.990234,16856.19922
138,109.919559,31.542202,142.8150024,2117,1695.459961,0.0662745,0.361387,-0.0063694,0.0041509,31.2441998,42.4263992,0.425433,-10.4076004,5.3783798,11.0021,0.0111781,2,100,153,8744.879883,16850.30078
139,109.919875,31.542205,157.0110016,2108,1702.619995,0.0662745,0.366195,-0.0008221,0.0013651,30.8561001,42.4263992,0.451274,-56.399601,4.4864898,11.4076004,0.0062597,2,100,153,8766.830078,16844.5
140,109.920191,31.542208,154.3589935,2103,1710.26001,0.0661288,0.391605,0.0077874,-0.0006144,24.8055,0,0.372405,-10.1842003,8.2162199,10.309,0.0070398,2,100,153,8788.820313,16838.80078
141,109.920507,31.54221,137.7259979,2096,1718.400024,0.0657301,0.388229,0.0040381,0.002557,26.3600998,84.8527985,1.04561,251.6349945,10.4595003,3.4716401,0.0059618,2,100,153,8810.860352,16833.09961
142,109.920823,31.542213,133.9949951,2083,1727.02002,0.0653261,0.401988,-0.0037025,0.0036467,33.895401,84.8527985,0.598134,-70.1597977,6.2972999,11.4076004,0.0058377,2,100,153,8832.950195,16827.5
143,109.921139,31.542216,143.6159973,2067,1736.119995,0.064917,0.371581,-0.004866,0.0007796,38.1918983,84.8527985,0.0208213,48.3333015,-1.24324,5.1215,0.0026269,2,100,153,8855.080078,16821.90039
144,109.921455,31.542218,151.6069946,2055,1745.680054,0.0645028,0.384393,0.0009874,-0.0025152,35.0301018,114.8529968,0.593078,92.0245972,-4.97297,5.8638601,0.0044355,2,100,153,8877.259766,16816.30078
145,109.921771,31.542221,150.0180054,2047,1755.699951,0.0640836,0.338913,0.0066358,-0.0051564,26.5778008,0,0.888416,237.2910004,-5.05405,1.33311,0.008983,2,100,153,8899.490234,16810.80078
